modelled_crossing_id,structure,watershed_group_code,reviewer,notes
100151,OBS,ADMS,PK,
100553,NONE,ADMS,PK,no road
101833,OBS,ADMS,PK,
102295,OBS,ADMS,PK,
200073,OBS,ALBN,OB,
200080,OBS,ALBN,OB,
200141,NONE,ALBN,OB,no road/structure
200223,NONE,ALBN,OB,no road/structure
200772,NONE,ALBN,OB,no road/structure
201136,NONE,ALBN,OB,no road/structure
201160,NONE,ALBN,OB,no road/structure
201772,OBS,ALBN,OB,
201921,NONE,ALBN,OB,no road/structure
201927,NONE,ALBN,OB,no road/structure
202405,OBS,ALBN,OB,
202554,OBS,ALBN,OB,
202812,OBS,ALBN,OB,
203158,NONE,ALBN,OB,no road/structure
203306,NONE,ALBN,OB,no road/structure
203655,OBS,ALBN,OB,
204057,OBS,ALBN,OB,
204059,OBS,ALBN,OB,
205052,OBS,ALBN,OB,
205157,OBS,ALBN,OB,
205297,OBS,ALBN,OB,
205382,NONE,ALBN,OB,no road/structure
205573,NONE,ALBN,OB,no road/structure
205615,OBS,ALBN,OB,
206263,OBS,ALBN,OB,
206309,OBS,ALBN,OB,
206560,NONE,ALBN,OB,no road/structure
500499,NONE,BABL,NMW,no road/structure
500555,NONE,BABL,NMW,no road/structure
500623,NONE,BABL,NMW,no road/structure
500624,NONE,BABL,NMW,no road/structure
500646,NONE,BABL,NMW,no road/structure
500808,NONE,BABL,NMW,no road/structure
501268,NONE,BABL,NMW,second opinion
501692,OBS,BABL,NMW,
502157,OBS,BABL,NMW,
502159,OBS,BABL,NMW,
502170,OBS,BABL,NMW,
502182,OBS,BABL,NMW,
502187,OBS,BABL,NMW,
502449,NONE,BABL,NMW,no road/structure
502595,OBS,BABL,NMW,
502711,OBS,BABL,NMW,
502713,OBS,BABL,NMW,
502716,OBS,BABL,NMW,
502726,OBS,BABL,NMW,
502786,OBS,BABL,NMW,
502789,OBS,BABL,NMW,
502975,OBS,BABL,NMW,
503204,OBS,BABL,NMW,
503341,OBS,BABL,NMW,
503588,NONE,BABL,NMW,no road/structure
503611,OBS,BABL,NMW,
503887,OBS,BABL,NMW,
504214,NONE,BABL,NMW,no road/structure
504224,NONE,BABL,NMW,no road/structure
504327,NONE,BABL,NMW,no road/structure
600318,NONE,BABR,OB,no road
600370,OBS,BABR,OB,
600371,OBS,BABR,OB,
600379,OBS,BABR,OB,
600387,OBS,BABR,OB,
600459,NONE,BABR,OB,no road
600468,OBS,BABR,OB,
600557,NONE,BABR,OB,no road
600564,NONE,BABR,OB,no road
600637,OBS,BABR,OB,
600645,OBS,BABR,OB,
600712,OBS,BABR,OB,
600798,OBS,BABR,OB,
600801,OBS,BABR,OB,
600827,OBS,BABR,OB,
600849,OBS,BABR,OB,
601026,NONE,BABR,OB,no road
601064,NONE,BABR,OB,no road
601073,NONE,BABR,OB,no road
800528,OBS,BBAR,OB,
801533,NONE,BBAR,OB,no crossing
802542,OBS,BBAR,OB,
802636,NONE,BBAR,OB,no crossing
802738,OBS,BBAR,OB,
1200069,NONE,BLAR,AL,no crossing
1200369,NONE,BLAR,AL,no crossing
1200516,NONE,BLAR,AL,no crossing
1200551,NONE,BLAR,AL,no road
1200924,NONE,BLAR,AL,no crossing
1200926,NONE,BLAR,AL,no crossing
1201321,OBS,BLAR,AL,
1201555,OBS,BLAR,AL,
1201561,OBS,BLAR,AL,
1201643,OBS,BLAR,AL,
1201681,OBS,BLAR,AL,
1201707,OBS,BLAR,AL,
1201711,NONE,BLAR,AL,no road
1201926,OBS,BLAR,AL,
1201966,OBS,BLAR,AL,
1202200,NONE,BLAR,AL,no road
1202206,OBS,BLAR,AL,
1202207,OBS,BLAR,AL,
1202270,NONE,BLAR,AL,no road
1202271,NONE,BLAR,AL,no road
1202744,NONE,BLAR,AL,no road
1400107,OBS,BONP,SN,
1400183,OBS,BONP,NMW,
1400300,NONE,BONP,NMW,no road/structure
1401942,OBS,BONP,NMW,
1402216,NONE,BONP,NMW,no road/structure
1402246,OBS,BONP,NMW,
1402798,NONE,BONP,NMW,no road/structure
1402825,NONE,BONP,NMW,no road/structure
1402866,NONE,BONP,NMW,no road/structure
1402869,OBS,BONP,NMW,
1403134,NONE,BONP,NMW,no road/structure
1403674,NONE,BONP,NMW,no road/structure
1404049,OBS,BONP,NMW,
1404365,NONE,BONP,NMW,no road/structure
1404790,NONE,BONP,NMW,no road/structure
1404823,OBS,BONP,NMW,
1500050,NONE,BOWR,AL,no crossing
1500666,NONE,BOWR,AL,no road
1501337,NONE,BOWR,AL,no road
1501338,NONE,BOWR,AL,no road
1501882,NONE,BOWR,AL,no road
1502083,NONE,BOWR,AL,no crossing
1502410,OBS,BOWR,AL,
1502807,OBS,BOWR,AL,
1800003,OBS,BULK,PK,
1800049,OBS,BULK,PK,
1800066,OBS,BULK,SN,Assessment pre load (Irvine 2020) - actually a passable CBS but noted here for convenience (Irvine 2020)
1800076,OBS,BULK,SN,Assessment pre load (Irvine 2020) - actually a passable CBS but noted here for convenience (Irvine 2020)
1800154,OBS,BULK,PK,
1800334,OBS,BULK,NMW,
1800472,OBS,BULK,SN,Assessment pre load (Irvine 2020)
1800644,OBS,BULK,PK,
1800661,NONE,BULK,NMW,no road/structure
1800808,NONE,BULK,SN,no road
1800819,OBS,BULK,PK,
1801041,NONE,BULK,NMW,no road/structure
1801067,OBS,BULK,NMW,
1801069,OBS,BULK,SN,Assessment pre load (Irvine 2020) - actually a passable CBS but noted here for convenience (Irvine 2020)
1801088,NONE,BULK,SN,no structure
1801117,OBS,BULK,PK,
1801156,NONE,BULK,NMW,no road/structure
1801167,NONE,BULK,NMW,no road/structure
1801188,NONE,BULK,SN,no crossing visible
1801208,OBS,BULK,NMW,
1801258,NONE,BULK,PK,no road/structure
1801332,OBS,BULK,PK,
1801559,NONE,BULK,NMW,no road/structure
1801590,NONE,BULK,NMW,no road/structure
1801613,NONE,BULK,NMW,no road/structure
1801847,NONE,BULK,NMW,no road/structure
1801858,NONE,BULK,NMW,no road/structure
1801895,NONE,BULK,NMW,no road/structure
1801925,NONE,BULK,NMW,no road/structure
1802180,NONE,BULK,NMW,no road/structure
1802262,NONE,BULK,PK,no road/structure
1802343,OBS,BULK,PK,
1802406,OBS,BULK,PK,
1802430,NONE,BULK,NMW,no road/structure
1802474,OBS,BULK,PK,
1802475,NONE,BULK,NMW,no road/structure
1802642,OBS,BULK,PK,
1802792,NONE,BULK,PK,no road/structure
1802938,OBS,BULK,PK,
1802980,NONE,BULK,NMW,no road/structure
1803021,NONE,BULK,NMW,no road/structure
1803222,OBS,BULK,PK,
1803235,NONE,BULK,NMW,no road/structure
1803244,OBS,BULK,PK,
1803306,OBS,BULK,NMW,
1803367,NONE,BULK,PK,no road/structure
1803384,NONE,BULK,NMW,no road/structure
1803403,OBS,BULK,PK,
1803588,OBS,BULK,NMW,
1803643,OBS,BULK,PK,
1803651,OBS,BULK,NMW,
1803663,NONE,BULK,PK,no road/structure
1803709,OBS,BULK,NMW,
1803821,OBS,BULK,NMW,
1803828,OBS,BULK,PK,
1803830,NONE,BULK,NMW,no road/structure
1803934,OBS,BULK,PK,
1803946,OBS,BULK,PK,
1803962,OBS,BULK,PK,
1803970,OBS,BULK,NMW,
1804035,OBS,BULK,PK,
1804057,OBS,BULK,PK,
1804061,OBS,BULK,PK,
1804114,OBS,BULK,PK,
1804145,OBS,BULK,NMW,
1804151,OBS,BULK,PK,
1804153,OBS,BULK,SN,Assessment pre load (Irvine 2020)
1804174,OBS,BULK,NMW,
1804233,OBS,BULK,NMW,
1804238,OBS,BULK,NMW,
1804275,NONE,BULK,PK,no road/structure
1804416,NONE,BULK,PK,no road/structure
1804417,NONE,BULK,PK,no road/structure
1804450,NONE,BULK,PK,no road/structure
1804478,NONE,BULK,PK,no road/structure
1804492,NONE,BULK,PK,no road/structure
1804543,OBS,BULK,NMW,
1804695,OBS,BULK,PK,
1804698,OBS,BULK,NMW,
1804707,OBS,BULK,PK,
1804756,OBS,BULK,PK,
1804808,OBS,BULK,PK,
1804818,OBS,BULK,PK,
1804824,OBS,BULK,PK,
1804825,OBS,BULK,NMW,
1804830,OBS,BULK,PK,
1804851,OBS,BULK,NMW,
1804861,OBS,BULK,PK,
1804884,OBS,BULK,PK,
1804950,OBS,BULK,NMW,
1804956,OBS,BULK,PK,
1805004,OBS,BULK,PK,
1805036,OBS,BULK,PK,
1805037,OBS,BULK,PK,
1805091,NONE,BULK,NMW,no road/structure
1805092,NONE,BULK,NMW,no road/structure
1805133,OBS,BULK,PK,
1805146,OBS,BULK,PK,
1805155,OBS,BULK,NMW,
1805158,OBS,BULK,NMW,
1805182,OBS,BULK,SN,Assessment pre load (Irvine 2020)
1805183,OBS,BULK,PK,
1805197,OBS,BULK,PK,
1805214,OBS,BULK,NMW,
1805227,OBS,BULK,NMW,
1805278,OBS,BULK,PK,
1805331,OBS,BULK,PK,
1805348,OBS,BULK,PK,
1805409,NONE,BULK,PK,no road/structure
1805530,OBS,BULK,SN,
1805593,OBS,BULK,NMW,
1805595,OBS,BULK,NMW,
1805733,NONE,BULK,PK,no road/structure
1805771,OBS,BULK,NMW,
1805793,NONE,BULK,PK,no road/structure
1805804,OBS,BULK,NMW,
1805843,NONE,BULK,PK,no road/structure
1805876,NONE,BULK,PK,no road/structure
1805954,NONE,BULK,PK,no road/structure
1805986,NONE,BULK,PK,no road/structure
1805991,OBS,BULK,NMW,
1806159,NONE,BULK,PK,no road/structure
1806180,NONE,BULK,PK,no road/structure
1806181,NONE,BULK,PK,no road/structure
1806264,NONE,BULK,PK,no road/structure
1806265,NONE,BULK,PK,no road/structure
1806271,NONE,BULK,PK,no road/structure
1806276,NONE,BULK,PK,no road/structure
1806281,NONE,BULK,PK,no road/structure
1806308,NONE,BULK,PK,no road/structure
1806316,OBS,BULK,PK,
1900049,OBS,BULL,OB,
1900060,OBS,BULL,OB,
1900120,OBS,BULL,OB,
1900126,OBS,BULL,OB,
1900152,OBS,BULL,OB,
1900240,NONE,BULL,OB,no road/structure
1900241,NONE,BULL,OB,no road/structure
1900287,OBS,BULL,OB,
1900339,OBS,BULL,OB,
1900346,OBS,BULL,OB,
1900393,NONE,BULL,OB,no road/structure
1900414,NONE,BULL,OB,no road/structure
1900691,OBS,BULL,OB,
1900748,NONE,BULL,OB,no road/structure
1900767,NONE,BULL,OB,no road/structure
1900992,NONE,BULL,OB,no road/structure
1901006,NONE,BULL,OB,no road/structure
1901079,OBS,BULL,OB,
1901105,NONE,BULL,OB,no road/structure
1901214,OBS,BULL,OB,
1901218,NONE,BULL,OB,no road/structure
1901230,NONE,BULL,OB,no road/structure
1901247,NONE,BULL,OB,no road/structure
1901438,NONE,BULL,OB,no road/structure
1901556,NONE,BULL,OB,no road/structure
1901795,OBS,BULL,OB,
1902096,OBS,BULL,OB,
1902173,NONE,BULL,OB,no road/structure
1902183,NONE,BULL,OB,no road/structure
1902188,NONE,BULL,OB,no road/structure
1902189,NONE,BULL,OB,no road/structure
1902411,NONE,BULL,OB,no road/structure
1902426,NONE,BULL,OB,no road/structure
1902474,NONE,BULL,OB,no road/structure
1902475,NONE,BULL,OB,no road/structure
1902552,OBS,BULL,OB,
1902943,OBS,BULL,OB,
1903028,OBS,BULL,OB,
1903030,OBS,BULL,OB,
1903036,OBS,BULL,OB,
1903045,OBS,BULL,OB,
1903184,OBS,BULL,OB,
1903247,OBS,BULL,OB,
1903280,OBS,BULL,OB,
1903282,OBS,BULL,OB,
1903353,OBS,BULL,OB,
1903429,NONE,BULL,OB,no road/structure
1903431,NONE,BULL,OB,no road/structure
1903473,OBS,BULL,OB,
1903580,NONE,BULL,OB,no road/structure
1903658,OBS,BULL,OB,
1903662,OBS,BULL,OB,
1903709,OBS,BULL,OB,
1903776,OBS,BULL,OB,
1903782,OBS,BULL,OB,
1903784,OBS,BULL,OB,
1903842,OBS,BULL,OB,
1903845,OBS,BULL,OB,
1904125,OBS,BULL,OB,
1904391,NONE,BULL,OB,no road/structure
1904626,OBS,BULL,OB,
1904677,OBS,BULL,OB,
1904682,OBS,BULL,OB,
1904810,NONE,BULL,OB,no road/structure
1904828,OBS,BULL,OB,
1905132,NONE,BULL,OB,no road/structure
1905293,OBS,BULL,OB,
1905301,OBS,BULL,OB,
1905318,OBS,BULL,OB,
2300203,NONE,CARR,PK,no road
2300602,NONE,CARR,PK,no road
2300641,NONE,CARR,PK,no crossing
2301274,NONE,CARR,PK,no crossing
2301417,NONE,CARR,PK,no crossing
2301418,OBS,CARR,PK,
2400259,NONE,CHES,SN,no road
2400265,NONE,CHES,SN,no road
2400804,OBS,CHES,AL,
2400805,OBS,CHES,AL,
2400877,OBS,CHES,AL,
2400878,OBS,CHES,AL,
2400880,OBS,CHES,AL,
2401131,NONE,CHES,AL,no road/structure
2401162,NONE,CHES,AL,no road/structure
2500038,OBS,CHIL,SN,
2500039,NONE,CHIL,SN,no road
2500727,OBS,CHIL,AL,
2500753,OBS,CHIL,AL,
2800090,OBS,CHWK,NMW,
2800109,OBS,CHWK,NMW,
2800393,NONE,CHWK,NMW,no road/structure
2800394,NONE,CHWK,NMW,no road/structure
2800396,NONE,CHWK,NMW,no road/structure
2800397,NONE,CHWK,NMW,no road/structure
2800398,NONE,CHWK,NMW,no road/structure
2800399,NONE,CHWK,NMW,no road/structure
2800536,OBS,CHWK,NMW,
2800541,NONE,CHWK,NMW,no road/structure
2800543,OBS,CHWK,NMW,
2800544,OBS,CHWK,NMW,
2800587,NONE,CHWK,NMW,no road/structure
2800591,NONE,CHWK,NMW,no road/structure
2800655,NONE,CHWK,NMW,no road/structure
2800679,NONE,CHWK,NMW,no road/structure
2800725,OBS,CHWK,NMW,
2800730,OBS,CHWK,NMW,
2800735,NONE,CHWK,NMW,no road/structure
2800905,NONE,CHWK,NMW,no road/structure
2800906,NONE,CHWK,NMW,no road/structure
2800976,NONE,CHWK,NMW,no road/structure
2801241,NONE,CHWK,NMW,no road/structure
2801332,NONE,CHWK,NMW,no road/structure
2801590,NONE,CHWK,NMW,no road/structure
2801591,NONE,CHWK,NMW,no road/structure
2801767,NONE,CHWK,NMW,no road/structure
2801825,OBS,CHWK,NMW,
2801864,NONE,CHWK,NMW,no road/structure
2801872,NONE,CHWK,NMW,no road/structure
3100138,OBS,CLWR,PK,
3100666,OBS,CLWR,PK,
3400078,OBS,COMX,AL,
3400192,OBS,COMX,AL,
3400311,NONE,COMX,AL,no road
3400367,OBS,COMX,AL,
3400756,NONE,COMX,AL,no crossing
3400762,OBS,COMX,AL,
3400765,OBS,COMX,AL,
3402369,OBS,COMX,AL,
3402462,NONE,COMX,AL,no road
3402463,NONE,COMX,AL,no road
3402474,OBS,COMX,AL,
3403156,OBS,COMX,AL,
3403172,OBS,COMX,AL,
3403173,OBS,COMX,AL,
3403318,OBS,COMX,AL,
3403490,OBS,COMX,AL,
3403564,OBS,COMX,AL,
3500213,OBS,COTR,NMW,
3500337,NONE,COTR,AL,no road
3500690,NONE,COTR,NMW,no road/structure
3500938,NONE,COTR,NMW,no road/structure
3500997,NONE,COTR,NMW,no road/structure
3501015,NONE,COTR,NMW,no road/structure
3501016,OBS,COTR,NMW,
3501037,OBS,COTR,AL,
3501041,NONE,COTR,NMW,no road/structure
3501049,OBS,COTR,NMW,
3501148,NONE,COTR,AL,no road
3501623,NONE,COTR,AL,no road
3501798,NONE,COTR,AL,no road
3501872,NONE,COTR,NMW,no road/structure
3502050,NONE,COTR,NMW,no road/structure
3502060,NONE,COTR,NMW,no road/structure
3502315,NONE,COTR,AL,no road
3502316,NONE,COTR,NMW,no road/structure
3502411,NONE,COTR,NMW,no road/structure
3502426,NONE,COTR,NMW,no road/structure
3502883,NONE,COTR,AL,no road
3502968,NONE,COTR,AL,no road
3503057,NONE,COTR,AL,no road
3503077,NONE,COTR,NMW,no road/structure
3503116,NONE,COTR,AL,no road
3503148,NONE,COTR,NMW,no road/structure
3503362,NONE,COTR,NMW,no road/structure
3503935,OBS,COTR,AL,
3503936,OBS,COTR,AL,
3504348,OBS,COTR,NMW,
3504354,OBS,COTR,AL,
3504485,OBS,COTR,NMW,
3504549,OBS,COTR,NMW,
3504729,OBS,COTR,NMW,
3504796,NONE,COTR,NMW,no road/structure
3504860,OBS,COTR,AL,
3505184,OBS,COTR,NMW,
3505634,OBS,COTR,AL,
3505819,OBS,COTR,AL,
3506023,OBS,COTR,NMW,
3506389,NONE,COTR,AL,no road
3506390,NONE,COTR,AL,no road
3506628,OBS,COTR,NMW,
3600026,OBS,COWN,OB,
3600159,OBS,COWN,OB,
3600265,OBS,COWN,OB,
3601388,NONE,COWN,OB,no road/structure
3602963,NONE,COWN,OB,no road/structure
3603038,NONE,COWN,AL,no road
3603113,NONE,COWN,OB,no road/structure
3603261,OBS,COWN,OB,
3604896,NONE,COWN,OB,no road/structure
3605125,NONE,COWN,OB,no road/structure
3605388,OBS,COWN,AL,
3605474,NONE,COWN,OB,no road/structure
3605481,OBS,COWN,OB,
3605720,OBS,COWN,OB,
3605732,OBS,COWN,AL,
3605765,NONE,COWN,OB,no road/structure
3605809,OBS,COWN,OB,
3606064,OBS,COWN,OB,
3606095,OBS,COWN,AL,
3606840,NONE,COWN,OB,no road/structure
3900006,OBS,DEAD,AL,
3900024,OBS,DEAD,AL,
3900071,OBS,DEAD,AL,
3900094,OBS,DEAD,AL,
3900134,OBS,DEAD,AL,
3900574,NONE,DEAD,AL,no road/structure
3900837,OBS,DEAD,AL,
3901178,OBS,DEAD,AL,
3901195,NONE,DEAD,AL,no road/structure
3901594,OBS,DEAD,AL,
4200247,NONE,DOGC,OB,no crossing
4200249,NONE,DOGC,OB,no road
4200299,NONE,DOGC,OB,no road
4200300,NONE,DOGC,OB,no road
4200866,NONE,DOGC,OB,no road
4201715,OBS,DOGC,OB,
4201920,NONE,DOGC,OB,no road
4600014,OBS,ELKR,AI,bridge
4600122,OBS,ELKR,AL,
4600123,OBS,ELKR,AL,
4600137,NONE,ELKR,AL,no road/structure
4600214,NONE,ELKR,AL,no road/structure
4600240,OBS,ELKR,PK,
4600242,OBS,ELKR,AL,
4600246,NONE,ELKR,AL,no road/structure
4600248,NONE,ELKR,AL,no road/structure
4600249,NONE,ELKR,AL,no road/structure
4600251,NONE,ELKR,AL,no road/structure
4600252,NONE,ELKR,AL,no road/structure
4600254,NONE,ELKR,AL,no road/structure
4600255,NONE,ELKR,AL,no road/structure
4600256,NONE,ELKR,AL,no road/structure
4600257,NONE,ELKR,AL,no road/structure
4600258,NONE,ELKR,AL,no road/structure
4600262,NONE,ELKR,AL,no road/structure
4600321,NONE,ELKR,AL,no road/structure
4600322,NONE,ELKR,AL,no road/structure
4600480,OBS,ELKR,AI,bridge
4600633,NONE,ELKR,AL,no road/structure
4600733,NONE,ELKR,AL,no road/structure
4600772,OBS,ELKR,AL,
4600836,NONE,ELKR,PK,no road/structure
4600950,NONE,ELKR,AL,no road/structure
4600996,OBS,ELKR,AL,
4601018,NONE,ELKR,AL,no road/structure
4601035,NONE,ELKR,AL,no road/structure
4601119,NONE,ELKR,AL,no road/structure
4601138,NONE,ELKR,SN,only a single crossing at this location (stream is incorrectly mapped) - PSCIS 62423 / model 4601130
4601256,NONE,ELKR,AL,no road/structure
4601257,NONE,ELKR,AL,no road/structure
4601275,NONE,ELKR,SN,no crossing visible
4601292,NONE,ELKR,AL,no road/structure
4601378,OBS,ELKR,AL,
4601412,OBS,ELKR,AL,
4601494,OBS,ELKR,AL,
4601524,OBS,ELKR,PK,
4601559,NONE,ELKR,SN,no road
4601832,NONE,ELKR,AL,no road/structure
4601981,NONE,ELKR,AL,no road/structure
4602172,OBS,ELKR,PK,
4602182,OBS,ELKR,AL,
4602220,NONE,ELKR,AL,no road/structure
4602221,NONE,ELKR,AL,no road/structure
4602266,OBS,ELKR,AL,
4602280,NONE,ELKR,AL,no road/structure
4602319,NONE,ELKR,AL,no road/structure
4602392,OBS,ELKR,AL,
4602413,NONE,ELKR,AL,no road/structure
4602414,NONE,ELKR,AL,no road/structure
4602415,NONE,ELKR,AL,no road/structure
4602531,NONE,ELKR,AL,no road/structure
4602532,NONE,ELKR,AL,no road/structure
4602534,OBS,ELKR,AL,
4602538,OBS,ELKR,AL,
4602539,NONE,ELKR,AL,no road/structure
4602624,NONE,ELKR,AL,no road/structure
4602645,NONE,ELKR,AL,no road/structure
4602693,NONE,ELKR,AL,no road/structure
4602694,NONE,ELKR,PK,no road/structure
4602714,NONE,ELKR,PK,no road/structure
4602747,OBS,ELKR,AL,
4602803,NONE,ELKR,AL,no road/structure
4602864,NONE,ELKR,AL,no road/structure
4602883,OBS,ELKR,AL,
4602974,OBS,ELKR,AI,bridge
4603111,OBS,ELKR,AL,
4603133,NONE,ELKR,AL,no road/structure
4603202,OBS,ELKR,AL,
4603295,NONE,ELKR,SN,no crossing as per survey (Irvine 2020)
4603296,NONE,ELKR,SN,no crossing as per survey (Irvine 2020)
4603311,OBS,ELKR,AL,
4603394,NONE,ELKR,PK,no road/structure
4603401,NONE,ELKR,AL,no road/structure
4603403,NONE,ELKR,AL,no road/structure
4603407,NONE,ELKR,AL,no road/structure
4603408,NONE,ELKR,AL,no road/structure
4603431,NONE,ELKR,AL,no road/structure
4603456,NONE,ELKR,AL,no road/structure
4603478,NONE,ELKR,AL,no road/structure
4603482,NONE,ELKR,AL,no road/structure
4603484,NONE,ELKR,AL,no road/structure
4603506,NONE,ELKR,AL,no road/structure
4603528,NONE,ELKR,AL,no road/structure
4603544,NONE,ELKR,AL,no road/structure
4603562,NONE,ELKR,AL,no road/structure
4603594,NONE,ELKR,AL,no road/structure
4603611,NONE,ELKR,AL,no road/structure
4603612,NONE,ELKR,AL,no road/structure
4603719,NONE,ELKR,AL,no road/structure
4603721,NONE,ELKR,AL,no road/structure
4603727,NONE,ELKR,AL,no road/structure
4603826,NONE,ELKR,AL,no road/structure
4603832,NONE,ELKR,AL,no road/structure
4603903,NONE,ELKR,AL,no road/structure
4603906,NONE,ELKR,AL,no road/structure
4603964,NONE,ELKR,AL,no road/structure
4603988,NONE,ELKR,AL,no road/structure
4604051,OBS,ELKR,AI,bridge
4604054,NONE,ELKR,AL,no road/structure
4604057,OBS,ELKR,AL,
4604133,NONE,ELKR,AL,no road/structure
4604151,NONE,ELKR,AL,no road/structure
4604219,OBS,ELKR,AL,
4604258,OBS,ELKR,AL,
4604259,OBS,ELKR,PK,
4604265,NONE,ELKR,AL,no road/structure
4604271,NONE,ELKR,AL,no road/structure
4604273,NONE,ELKR,AL,no road/structure
4604274,NONE,ELKR,AL,no road/structure
4604275,NONE,ELKR,AL,no road/structure
4604278,NONE,ELKR,AL,no road/structure
4604280,NONE,ELKR,AL,no road/structure
4604281,NONE,ELKR,AL,no road/structure
4604282,NONE,ELKR,AL,no road/structure
4604285,NONE,ELKR,AL,no road/structure
4604287,NONE,ELKR,AL,no road/structure
4604465,NONE,ELKR,AL,no road/structure
4604583,NONE,ELKR,AL,no road/structure
4604680,OBS,ELKR,PK,
4604776,OBS,ELKR,AL,
4604903,NONE,ELKR,AL,no road/structure
4604976,NONE,ELKR,AL,no road/structure
4605015,OBS,ELKR,AL,
4605184,OBS,ELKR,AL,
4605256,NONE,ELKR,PK,no road/structure
4605261,NONE,ELKR,AL,no road/structure
4605344,NONE,ELKR,AL,no road/structure
4605391,OBS,ELKR,AL,
4605392,OBS,ELKR,AL,
4605396,OBS,ELKR,AL,
4605419,OBS,ELKR,AL,
4605447,OBS,ELKR,AL,
4605452,OBS,ELKR,AL,
4605467,OBS,ELKR,PK,
4605470,OBS,ELKR,AL,
4605472,NONE,ELKR,AL,no road/structure
4605512,OBS,ELKR,AL,
4605564,OBS,ELKR,AL,
4605593,OBS,ELKR,AL,
4605607,OBS,ELKR,PK,
4605608,OBS,ELKR,AL,
4605613,OBS,ELKR,AL,
4605718,OBS,ELKR,AL,
4605748,OBS,ELKR,AL,
4605791,OBS,ELKR,AL,
4605826,OBS,ELKR,AL,
4605838,OBS,ELKR,AL,
4605863,OBS,ELKR,AL,
4605910,OBS,ELKR,AL,
4605911,OBS,ELKR,AL,
4605923,OBS,ELKR,AL,
4605925,OBS,ELKR,AL,
4605927,OBS,ELKR,AL,
4605962,NONE,ELKR,AL,no road/structure
4606046,OBS,ELKR,AL,
4606091,OBS,ELKR,AL,
4606122,OBS,ELKR,AL,
4606146,NONE,ELKR,AL,no road/structure
4606158,OBS,ELKR,AL,
4606183,OBS,ELKR,AL,
4606205,OBS,ELKR,AL,
4606207,OBS,ELKR,AL,
4606233,OBS,ELKR,PK,
4606239,OBS,ELKR,PK,
4606288,OBS,ELKR,AL,
4606297,OBS,ELKR,AL,
4606322,OBS,ELKR,AL,
4606387,OBS,ELKR,AL,
4606428,OBS,ELKR,AL,
4606430,OBS,ELKR,AL,
4606476,NONE,ELKR,PK,no road/structure
4606507,OBS,ELKR,AL,
4606518,OBS,ELKR,SN,Bridge as per survey (Irvine 2020)
4606524,NONE,ELKR,AL,no road/structure
4606549,OBS,ELKR,AL,
4606613,OBS,ELKR,AL,
4606616,NONE,ELKR,AL,no road/structure
4606627,NONE,ELKR,AL,no road/structure
4606630,NONE,ELKR,PK,no road/structure
4606635,NONE,ELKR,PK,no road/structure
4606843,OBS,ELKR,AL,
4606868,NONE,ELKR,PK,no road/structure
4606899,NONE,ELKR,PK,no road/structure
4606900,NONE,ELKR,AL,no road/structure
4606901,NONE,ELKR,PK,no road/structure
4606905,NONE,ELKR,AL,no road/structure
4606906,NONE,ELKR,AL,no road/structure
4606912,NONE,ELKR,PK,no road/structure
4606962,NONE,ELKR,AL,no road/structure
4606968,OBS,ELKR,AL,
4607138,NONE,ELKR,PK,no road/structure
4607189,NONE,ELKR,PK,no road/structure
4607266,OBS,ELKR,AL,
4607304,NONE,ELKR,PK,no road/structure
4607434,NONE,ELKR,AL,no road/structure
4607453,NONE,ELKR,AL,no road/structure
4607599,NONE,ELKR,AL,no road/structure
24706616,OBS,ELKR,AI,bridge
24732547,OBS,ELKR,SN,bridge visible and obvious
24732660,NONE,ELKR,SN,no crossing as per survey (Irvine 2020)
24734087,OBS,ELKR,SN,bridge visible and obvious
24734160,NONE,ELKR,SN,no crossing
24734192,OBS,ELKR,SN,Bridge visible
24734470,NONE,ELKR,SN,no road
24734719,NONE,ELKR,SN,no crossing structure mentioned here in habitat conf for PSCIS 50181
4700107,NONE,EUCH,SN,no road
4700160,OBS,EUCH,SN,
4800017,NONE,EUCL,AL,no crossing
4800030,NONE,EUCL,AL,no crossing
4800038,NONE,EUCL,AL,no crossing
4800041,OBS,EUCL,AL,
4800045,NONE,EUCL,AL,no crossing
4800058,NONE,EUCL,AL,no crossing
4800077,NONE,EUCL,AL,no road
4800090,OBS,EUCL,AL,
4800132,NONE,EUCL,AL,no crossing
4800149,NONE,EUCL,AL,no crossing
4800187,NONE,EUCL,AL,no crossing
4800290,NONE,EUCL,AL,no crossing
4800388,OBS,EUCL,AL,
5400050,OBS,FRAN,NMW,
5400155,NONE,FRAN,NMW,no road/structure
5400156,NONE,FRAN,NMW,no road/structure
5400211,OBS,FRAN,SN,
5400307,OBS,FRAN,NMW,
5400504,OBS,FRAN,NMW,
5400530,NONE,FRAN,NMW,no road/structure
5400685,NONE,FRAN,NMW,no road/structure
5400732,NONE,FRAN,NMW,no road/structure
5400926,NONE,FRAN,NMW,no road/structure
5400936,NONE,FRAN,NMW,no road/structure
5401132,NONE,FRAN,NMW,no road/structure
5401281,OBS,FRAN,NMW,
5402039,NONE,FRAN,NMW,no road/structure
5402152,NONE,FRAN,NMW,no road/structure
5402166,OBS,FRAN,NMW,
5402408,NONE,FRAN,NMW,no road/structure
5402452,NONE,FRAN,NMW,no road/structure
