watershed_group_code,model
ADMS,mad
ALBN,cw
ATNA,cw
BABL,cw
BABR,cw
BARR,cw
BBAR,mad
BELA,cw
BLAR,mad
BONP,mad
BOWR,mad
BRKS,cw
BULK,mad
CAMB,cw
CARR,mad
CHES,mad
CHIL,mad
CHIR,mad
CHWK,mad
CLAY,cw
CLWR,mad
COMX,cw
COTR,mad
COWN,cw
DEAD,mad
DOGC,mad
DRIR,mad
ELKR,mad
EUCH,mad
EUCL,mad
FRAN,mad
FRCN,mad
GLAR,cw
GOLD,cw
GRAI,cw
GUIC,mad
HARR,mad
HERR,mad
HOLB,cw
HOMA,cw
HORS,mad
INKR,cw
JENR,cw
JERV,cw
KEEC,cw
KHTZ,cw
KINR,cw
KISP,cw
KITL,cw
KITR,cw
KLIN,cw
KLUM,cw
KNIG,cw
KSHR,cw
KTSU,cw
KUMR,cw
LBIR,cw
LCHL,mad
LCHR,mad
LDEN,cw
LFRA,mad
LILL,mad
LISR,cw
LKEL,cw
LNAR,cw
LNIC,mad
LNTH,mad
LRDO,cw
LSAL,mad
LSKE,cw
LSTR,cw
LTRE,mad
MAHD,mad
MBNK,cw
MCGR,mad
MESC,cw
MFRA,mad
MIDR,mad
MORI,cw
MORK,mad
MORR,cw
MSKE,cw
MSTR,cw
NAHR,cw
NAKR,cw
NARC,mad
NASC,cw
NASR,cw
NAZR,mad
NBNK,cw
NECL,cw
NECR,mad
NEVI,cw
NICL,mad
NIEL,cw
NIMP,cw
OKAN,cw
OWIK,cw
PARK,cw
PARS,mad
PORI,cw
QUES,mad
SAJR,mad
SALM,cw
SALR,mad
SANJ,cw
SETN,mad
SEYM,cw
SHER,cw
SHUL,mad
SQAM,cw
STHM,mad
STIR,cw
STUL,mad
STUR,mad
SUST,cw
SWIR,cw
TABR,mad
TAHR,cw
TAHS,cw
TAKL,mad
TASR,mad
TATR,cw
TAYR,cw
TESR,cw
THOM,mad
TOBA,cw
TSAY,cw
TSIT,cw
TWAC,mad
UBIR,cw
UCHR,mad
UFRA,mad
UJER,cw
UNAR,cw
UNTH,mad
UNUR,cw
USHU,mad
USKE,cw
USTK,cw
UTRE,mad
VICT,cw
WILL,mad
WORC,cw
ZYMO,cw